5-A1-1 5-A1-2 6-A1-1 6-A1-2 5-A2-1 5-A2-2 6-A2-1 6-A2-2 5-A3-1 5-A3-2 6-A3-1 6-A3-2 5-A4-1 5-A4-2 6-A4-1 6-A4-2 5-A5-1 5-A5-2 6-A5-1 6-A5-2 5-A6-1 5-A6-2 6-A6-1 6-A6-2 5-A7-1 5-A7-2 6-A7-1 6-A7-2 5-A8-1 5-A8-2 6-A8-1 6-A8-2 5-A9-1 5-A9-2 6-A9-1 6-A9-2 5-A10-1 5-A10-2 6-A10-1 6-A10-2 5-A11-1 5-A11-2 6-A11-1 6-A11-2 5-A12-1 5-A12-2 6-A12-1 6-A12-2 
5-A1-3 5-A1-4 6-A1-3 6-A1-4 5-A2-3 5-A2-4 6-A2-3 6-A2-4 5-A3-3 5-A3-4 6-A3-3 6-A3-4 5-A4-3 5-A4-4 6-A4-3 6-A4-4 5-A5-3 5-A5-4 6-A5-3 6-A5-4 5-A6-3 5-A6-4 6-A6-3 6-A6-4 5-A7-3 5-A7-4 6-A7-3 6-A7-4 5-A8-3 5-A8-4 6-A8-3 6-A8-4 5-A9-3 5-A9-4 6-A9-3 6-A9-4 5-A10-3 5-A10-4 6-A10-3 6-A10-4 5-A11-3 5-A11-4 6-A11-3 6-A11-4 5-A12-3 5-A12-4 6-A12-3 6-A12-4 
7-A1-1 7-A1-2 8-A1-1 8-A1-2 7-A2-1 7-A2-2 8-A2-1 8-A2-2 7-A3-1 7-A3-2 8-A3-1 8-A3-2 7-A4-1 7-A4-2 8-A4-1 8-A4-2 7-A5-1 7-A5-2 8-A5-1 8-A5-2 7-A6-1 7-A6-2 8-A6-1 8-A6-2 7-A7-1 7-A7-2 8-A7-1 8-A7-2 7-A8-1 7-A8-2 8-A8-1 8-A8-2 7-A9-1 7-A9-2 8-A9-1 8-A9-2 7-A10-1 7-A10-2 8-A10-1 8-A10-2 7-A11-1 7-A11-2 8-A11-1 8-A11-2 7-A12-1 7-A12-2 8-A12-1 8-A12-2 
7-A1-3 7-A1-4 8-A1-3 8-A1-4 7-A2-3 7-A2-4 8-A2-3 8-A2-4 7-A3-3 7-A3-4 8-A3-3 8-A3-4 7-A4-3 7-A4-4 8-A4-3 8-A4-4 7-A5-3 7-A5-4 8-A5-3 8-A5-4 7-A6-3 7-A6-4 8-A6-3 8-A6-4 7-A7-3 7-A7-4 8-A7-3 8-A7-4 7-A8-3 7-A8-4 8-A8-3 8-A8-4 7-A9-3 7-A9-4 8-A9-3 8-A9-4 7-A10-3 7-A10-4 8-A10-3 8-A10-4 7-A11-3 7-A11-4 8-A11-3 8-A11-4 7-A12-3 7-A12-4 8-A12-3 8-A12-4 
5-B1-1 5-B1-2 6-B1-1 6-B1-2 5-B2-1 5-B2-2 6-B2-1 6-B2-2 5-B3-1 5-B3-2 6-B3-1 6-B3-2 5-B4-1 5-B4-2 6-B4-1 6-B4-2 5-B5-1 5-B5-2 6-B5-1 6-B5-2 5-B6-1 5-B6-2 6-B6-1 6-B6-2 5-B7-1 5-B7-2 6-B7-1 6-B7-2 5-B8-1 5-B8-2 6-B8-1 6-B8-2 5-B9-1 5-B9-2 6-B9-1 6-B9-2 5-B10-1 5-B10-2 6-B10-1 6-B10-2 5-B11-1 5-B11-2 6-B11-1 6-B11-2 5-B12-1 5-B12-2 6-B12-1 6-B12-2 
5-B1-3 5-B1-4 6-B1-3 6-B1-4 5-B2-3 5-B2-4 6-B2-3 6-B2-4 5-B3-3 5-B3-4 6-B3-3 6-B3-4 5-B4-3 5-B4-4 6-B4-3 6-B4-4 5-B5-3 5-B5-4 6-B5-3 6-B5-4 5-B6-3 5-B6-4 6-B6-3 6-B6-4 5-B7-3 5-B7-4 6-B7-3 6-B7-4 5-B8-3 5-B8-4 6-B8-3 6-B8-4 5-B9-3 5-B9-4 6-B9-3 6-B9-4 5-B10-3 5-B10-4 6-B10-3 6-B10-4 5-B11-3 5-B11-4 6-B11-3 6-B11-4 5-B12-3 5-B12-4 6-B12-3 6-B12-4 
7-B1-1 7-B1-2 8-B1-1 8-B1-2 7-B2-1 7-B2-2 8-B2-1 8-B2-2 7-B3-1 7-B3-2 8-B3-1 8-B3-2 7-B4-1 7-B4-2 8-B4-1 8-B4-2 7-B5-1 7-B5-2 8-B5-1 8-B5-2 7-B6-1 7-B6-2 8-B6-1 8-B6-2 7-B7-1 7-B7-2 8-B7-1 8-B7-2 7-B8-1 7-B8-2 8-B8-1 8-B8-2 7-B9-1 7-B9-2 8-B9-1 8-B9-2 7-B10-1 7-B10-2 8-B10-1 8-B10-2 7-B11-1 7-B11-2 8-B11-1 8-B11-2 7-B12-1 7-B12-2 8-B12-1 8-B12-2 
7-B1-3 7-B1-4 8-B1-3 8-B1-4 7-B2-3 7-B2-4 8-B2-3 8-B2-4 7-B3-3 7-B3-4 8-B3-3 8-B3-4 7-B4-3 7-B4-4 8-B4-3 8-B4-4 7-B5-3 7-B5-4 8-B5-3 8-B5-4 7-B6-3 7-B6-4 8-B6-3 8-B6-4 7-B7-3 7-B7-4 8-B7-3 8-B7-4 7-B8-3 7-B8-4 8-B8-3 8-B8-4 7-B9-3 7-B9-4 8-B9-3 8-B9-4 7-B10-3 7-B10-4 8-B10-3 8-B10-4 7-B11-3 7-B11-4 8-B11-3 8-B11-4 7-B12-3 7-B12-4 8-B12-3 8-B12-4 
5-C1-1 5-C1-2 6-C1-1 6-C1-2 5-C2-1 5-C2-2 6-C2-1 6-C2-2 5-C3-1 5-C3-2 6-C3-1 6-C3-2 5-C4-1 5-C4-2 6-C4-1 6-C4-2 5-C5-1 5-C5-2 6-C5-1 6-C5-2 5-C6-1 5-C6-2 6-C6-1 6-C6-2 5-C7-1 5-C7-2 6-C7-1 6-C7-2 5-C8-1 5-C8-2 6-C8-1 6-C8-2 5-C9-1 5-C9-2 6-C9-1 6-C9-2 5-C10-1 5-C10-2 6-C10-1 6-C10-2 5-C11-1 5-C11-2 6-C11-1 6-C11-2 5-C12-1 5-C12-2 6-C12-1 6-C12-2 
5-C1-3 5-C1-4 6-C1-3 6-C1-4 5-C2-3 5-C2-4 6-C2-3 6-C2-4 5-C3-3 5-C3-4 6-C3-3 6-C3-4 5-C4-3 5-C4-4 6-C4-3 6-C4-4 5-C5-3 5-C5-4 6-C5-3 6-C5-4 5-C6-3 5-C6-4 6-C6-3 6-C6-4 5-C7-3 5-C7-4 6-C7-3 6-C7-4 5-C8-3 5-C8-4 6-C8-3 6-C8-4 5-C9-3 5-C9-4 6-C9-3 6-C9-4 5-C10-3 5-C10-4 6-C10-3 6-C10-4 5-C11-3 5-C11-4 6-C11-3 6-C11-4 5-C12-3 5-C12-4 6-C12-3 6-C12-4 
7-C1-1 7-C1-2 8-C1-1 8-C1-2 7-C2-1 7-C2-2 8-C2-1 8-C2-2 7-C3-1 7-C3-2 8-C3-1 8-C3-2 7-C4-1 7-C4-2 8-C4-1 8-C4-2 7-C5-1 7-C5-2 8-C5-1 8-C5-2 7-C6-1 7-C6-2 8-C6-1 8-C6-2 7-C7-1 7-C7-2 8-C7-1 8-C7-2 7-C8-1 7-C8-2 8-C8-1 8-C8-2 7-C9-1 7-C9-2 8-C9-1 8-C9-2 7-C10-1 7-C10-2 8-C10-1 8-C10-2 7-C11-1 7-C11-2 8-C11-1 8-C11-2 7-C12-1 7-C12-2 8-C12-1 8-C12-2 
